,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
,AAPL,AMZN,BRK-B,GOOG,META,MSFT,NVDA,TSLA,TSM,UNH
Date,,,,,,,,,,
2017-06-01,36.25257873535156,49.79750061035156,166.66000366210938,48.34749984741211,151.52999877929688,65.6594467163086,35.689388275146484,68.0739974975586,30.392906188964844,166.06436157226562
2017-06-02,36.789817810058594,50.33649826049805,166.2899932861328,48.779998779296875,153.61000061035156,67.21429443359375,35.51139450073242,67.97000122070312,30.638486862182617,165.88864135742188
2017-06-05,36.43007278442383,50.56700134277344,166.52000427246094,49.183998107910156,153.6300048828125,67.70135498046875,36.591766357421875,69.46399688720703,30.816320419311523,165.87014770507812
2017-06-06,36.553157806396484,50.150001525878906,166.1300048828125,48.82849884033203,152.80999755859375,67.92613220214844,36.42612838745117,70.56999969482422,30.850200653076172,167.21104431152344
2017-06-07,36.7708740234375,50.503501892089844,166.5,49.047000885009766,153.1199951171875,67.80437469482422,36.86619186401367,71.93000030517578,30.8756046295166,169.42115783691406
2017-06-08,36.680946350097656,50.51350021362305,166.94000244140625,49.170501708984375,154.7100067138672,67.39224243164062,39.54115295410156,74.0,31.18893814086914,168.01553344726562
2017-06-09,35.25857925415039,48.91550064086914,170.0,47.49150085449219,149.60000610351562,65.86549377441406,36.98484802246094,71.46399688720703,30.308223724365234,167.8028564453125
2017-06-12,34.41604232788086,48.24549865722656,170.5,47.14500045776367,148.44000244140625,65.35971069335938,37.076324462890625,71.802001953125,29.84246253967285,165.7592010498047
2017-06-13,34.69294738769531,49.03950119018555,171.47000122070312,47.66999816894531,150.67999267578125,66.17459106445312,37.42985534667969,75.19000244140625,30.113454818725586,167.42372131347656
2017-06-14,34.354515075683594,48.82350158691406,171.4499969482422,47.53799819946289,150.25,65.81865692138672,37.508975982666016,76.13200378417969,30.189661026000977,168.63510131835938
2017-06-15,34.14861297607422,48.208499908447266,170.5500030517578,47.115501403808594,149.8000030517578,65.47209930419922,37.6696662902832,75.06800079345703,30.011829376220703,167.49298095703125
2017-06-16,33.67055130004883,49.385501861572266,170.47999572753906,46.98899841308594,150.63999938964844,65.5657730102539,37.4842414855957,74.27999877929688,30.375967025756836,168.6536865234375
2017-06-19,34.6337776184082,49.75849914550781,171.5500030517578,47.868499755859375,152.8699951171875,66.38068389892578,38.8934326171875,73.95999908447266,30.663883209228516,169.94439697265625
2017-06-20,34.31901168823242,49.62950134277344,170.5500030517578,47.53150177001953,152.25,65.48148345947266,38.83656311035156,74.447998046875,30.596147537231445,170.176513671875
