,AAPL,AMZN,BRK-B,GOOG,META,MSFT,NVDA,TSLA,TSM,UNH,Portfolio_Equal,Portfolio_MSR,Portfolio_GMV,S&P500,Portfolio_Return
2017-06-01,,,,,,,,,,,0.0,0.0,0.0,,0.0
2017-06-02,0.014819334057004419,0.010823789217132784,-0.002220151013117233,0.008945631795848064,0.013726666982187608,0.02368048765325592,-0.004987302473268063,-0.0015276945776424578,0.008080197125306166,-0.0010581452466986718,0.007028281352000853,-0.0010581452466986718,0.0011987298213158866,0.0037077313104922904,0.0011987298213158866
2017-06-05,-0.009778385625394681,0.004579243496091179,0.0013831919875801901,0.00828206926451891,0.00013022766995285373,0.007246383391797728,0.030423245042296765,0.021980221269274347,0.0058042539087792555,-0.00011148233051050394,0.006993896807438603,-0.00011148233051050394,0.0023781275721095904,-0.001217665183814387,0.0023781275721095904
2017-06-06,0.0033786652774761006,-0.00824648102164205,-0.002342057288266197,-0.00722794569888674,-0.0053375466911183,0.003320128847414283,-0.00452664592227614,0.01592195752013903,0.0010994250223144153,0.008084014061586764,0.00041235141067411633,0.008084014061586764,-0.0019774714380606934,-0.0027790399654609166,-0.0019774714380606934
2017-06-07,0.005956153451752266,0.007048860527522072,0.002227142035230223,0.004474887614141609,0.0020286471012793683,-0.0017924987538208148,0.012080984064013256,0.019271653907224184,0.0008234622758571675,0.013217509252995585,0.006533680147619491,0.013217509252995585,0.004162579537402099,0.0015682572275503848,0.004162579537402099
2017-06-08,-0.002445622404366188,0.00019797283670675014,0.0026426573057432012,0.0025180096998012047,0.010384088606212316,-0.006078254759202872,0.07255864939766155,0.028777974225523195,0.010148255074266421,-0.008296628399869,0.011040710158247658,-0.008296628399869,0.0016645764047643146,0.00026720472849017796,0.0016645764047643146
2017-06-09,-0.03877672845110436,-0.031635098854680854,0.018329924007685072,-0.03414650646498085,-0.03302954164950944,-0.022654664723098072,-0.06464922594968148,-0.034270312335040076,-0.02823803787503243,-0.0012658174966891922,-0.027033600979213167,-0.0012658174966891922,0.002468021299595827,-0.0008299892344156845,0.002468021299595827
2017-06-12,-0.02389594090551317,-0.013697130252466216,0.002941176470588225,-0.007296050672101262,-0.007754034858171832,-0.007679029672000515,0.0024733490962065563,0.004729725185276923,-0.01536748537057786,-0.012178907074647083,-0.007772432805340624,-0.012178907074647083,-0.0031911525394844693,-0.000978763178264619,-0.0031911525394844693
2017-06-13,0.008045813553353653,0.016457546404488266,0.005689156719666411,0.011135808804413339,0.015090206127281514,0.012467625123324444,0.00953521927835399,0.047185320689151045,0.009080761304214535,0.010041797095605931,0.014472925509985315,0.010041797095605931,0.008290753333804843,0.004511505177332342,0.008290753333804843
2017-06-14,-0.009755075238483513,-0.004404604411325286,-0.00011666339487093058,-0.0027690365964481156,-0.0028536812893698027,-0.005378713148672554,0.0021138376104716805,0.012528279188546598,0.0025306364790798064,0.007235414404716867,-8.696063963552474e-05,0.007235414404716867,0.00017894606688359277,-0.0009958307964025304,0.00017894606688359277
